|        token |        occs |       ndocs |    weight | n_regions |                                                                 country_codes |
|           pq |   1,018,859 |     974,186 |  8.673053 |        25 |    AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|           no | 127,376,096 | 105,893,447 |  1.908853 |        26 | AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GQ:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|     chabones |      21,620 |      21,527 | 14.172997 |        12 |                                           AR:BR:CL:CO:ES:FR:GB:MX:PE:PY:US:UY |
|        _htag |  70,759,927 |  45,120,284 |  3.139618 |        26 | AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GQ:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|        ficho |       8,534 |       8,387 | 15.532866 |        23 |          AR:BO:BR:CA:CL:CO:CR:DO:EC:ES:FR:GB:GT:HN:MX:NI:PA:PE:PY:SV:US:UY:VE |
| artificiales |      25,329 |      25,135 | 13.949452 |        25 |    AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|           re |   4,795,406 |   4,549,231 |  6.449699 |        25 |    AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|        sabia |     918,946 |     900,744 |  8.786133 |        26 | AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GQ:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|      meterme |      80,700 |      80,320 |  12.27341 |        25 |    AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|           yo |  26,415,090 |  25,157,332 |  3.982415 |        26 | AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GQ:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|       fuegos |      60,071 |      58,910 | 12.720654 |        25 |    AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|            m |   1,544,628 |   1,403,815 |  8.145968 |        26 | AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GQ:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|        donde |   5,655,364 |   5,435,276 |  6.192969 |        26 | AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GQ:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|        hablo |     898,852 |     866,863 |  8.841446 |        25 |    AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|       pasame |      83,662 |      83,114 | 12.224078 |        25 |    AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|           tu |  19,526,877 |  17,377,918 |  4.516139 |        26 | AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GQ:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|        antoo |       2,588 |       2,493 | 17.282934 |        10 |                                                 AR:CL:CO:ES:MX:PE:PY:US:UY:VE |
|     horrible |     608,475 |     598,866 |  9.375016 |        25 |    AR:BO:BR:CA:CL:CO:CR:CU:DO:EC:ES:FR:GB:GT:HN:MX:NI:PA:PE:PR:PY:SV:US:UY:VE |
|          wsp |     201,862 |     199,970 | 10.957463 |        23 |          AR:BO:BR:CA:CL:CO:CR:DO:EC:ES:FR:GB:GT:HN:MX:NI:PA:PE:PY:SV:US:UY:VE |
